"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
505,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",54282,9898,9031,70121.22,163872589.9,54958.25,1397.45,0,0
505,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9506690000,"08",11,"U",15334000,56345.99,48679,148436.2,346270483,70573.73,0,0,0
505,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,8,1,9503900000,"08",11,"U",2501540,7263.45,6797.85,67011.8,156744627.6,46790.99,1595.54,188.68,0
505,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,8,2,4911100000,"08",33,"KG",76.18,80.98,76.18,11,25729.66,0,0,0,0
505,"02",23,"DEU",2,"BAQ","08",1,"472",1,"198",1,8,2,9601900000,"08",11,"U",450720,37600,37560,11268,26465037.79,0,0,0,0
505,"02",23,"DEU",2,"BAQ","08",1,"573",1,"198",1,8,2,9601900000,"08",11,"U",226800,19220,18900,5748,13500269.55,0,0,0,0
505,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,6302600000,"08",11,"U",24592,4835.99,4403,33727.58,79203154.03,26334.54,1260.41,0,0
505,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,18000,42276418.2,0,0,0,0
505,"02",23,"DEU",3,"BOG","08",4,"169",1,"198",1,5,1,9602001000,"08",33,"KG",76,118,76,2566,5977112.36,2404.34,725,9,0
505,"02",23,"DEU",3,"BOG","08",4,"445",1,"198",1,6,1,9615110000,"08",11,"U",89,93,81.6,1310.53,3073782.59,914.33,0,0,0
505,"02",23,"DEU",3,"BOG","20",4,"169",1,"199",2,8,2,8412290000,"20",11,"U",2,323,291,4080,9690122.4,0,0,0,0
505,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,4410320000,"08",67,"M3",17.72,15000,13162,5710.73,13298519.27,0,0,0,0
505,"02",27,"ABW",2,"BAQ","08",1,"472",1,"198",1,8,2,2505900000,"08",33,"KG",17102000,17102000,17102000,99275.4,231588660.4,0,0,0,0
505,"02",27,"ABW",2,"BAQ","08",1,"573",1,"198",1,8,2,202200000,"08",33,"KG",22750,23508.33,22750,26195.23,61272217.3,0,3549.25,103.15,0
505,"02",27,"ABW",2,"BAQ","08",1,"573",1,"198",1,8,2,206290000,"08",33,"KG",1250,1291.66,1250,1001.87,2343434.14,0,135.74,3.95,0
505,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,401100000,"25",61,"L",900,1035.01,900,531,1238711.49,408.87,0,0,0
505,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,401200000,"25",61,"L",243,279.45,243,315.9,736928.36,236.93,0,0,0
505,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,403100000,"25",61,"L",225,258.75,225,564,1315693.57,547.94,0,0,0
505,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,2202900000,"25",61,"L",18582.6,21370.18,18582.6,14649.44,34174067.15,9775.23,0,0,0
505,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,2,1901909000,"25",33,"KG",325.2,400.83,325.2,826.6,1928284.21,0,0,0,0
505,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,2,2007991100,"25",33,"KG",313.2,386.04,313.2,486,1133735.94,0,0,0,0
505,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,2,2007999100,"25",33,"KG",1238.88,1527,1238.88,1922.4,4484555.5,0,0,0,0
505,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,2,2202900000,"25",61,"L",2700,3327.92,2700,2316,5402741.64,0,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1704901000,"05",33,"KG",248.85,274.54,248.85,517.5,1210463.6,497.11,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905310000,"05",33,"KG",17436,19236.33,17436,23635.2,55284153.28,21082.64,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905320000,"05",33,"KG",187.2,206.53,187.2,336,785924.19,292.64,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905901000,"05",33,"KG",171,188.66,171,246,575408.78,221.47,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"047",1,"002",2,8,2,3919909000,"05",33,"KG",1,1.19,1,0.3,701.72,0,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"047",1,"002",2,8,2,3926909090,"05",33,"KG",25.3,30.12,25.3,102.5,239753.66,0,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"047",1,"002",2,8,2,6109100000,"05",11,"U",22,17.02,14.3,50,116953.01,0,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"047",1,"002",2,8,2,9403200000,"05",11,"U",1,15.5,13.02,10,23390.6,0,0,0,0
505,"02",47,"ANT",2,"BAQ","05",1,"047",1,"002",2,8,2,9608101000,"05",11,"U",9,1.19,1,5,11695.3,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,1101000000,"08",33,"KG",130000,130000,130000,43227,101101051.6,12090.7,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,4819400000,"08",11,"U",102000,2472,2370,2260.62,5287726.04,2035,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,3920100000,"08",33,"KG",3186.6,3188.95,3186.6,14360.22,33589417.63,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4819400000,"08",11,"U",450194,2239.85,2238.2,6467.47,15127801.02,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811100000,"08",82,"M2",9604.34,116891.5,116891.5,26122,60989969.96,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811900000,"08",33,"KG",3650,3650,3650,2890,6756733.16,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403200000,"08",11,"U",54,1381.14,893,1275,2982301.62,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403500000,"08",11,"U",28,2381.81,1540,3800,8888428.38,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403600000,"08",11,"U",54,41.76,27,378,884164.72,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9404290000,"08",11,"U",66,2895.29,1872,7628,17842350.44,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201100000,"08",33,"KG",8540,8595.79,8540,15799,36946064.67,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201200000,"08",33,"KG",100,100.5,100,182,426871.9,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201300090,"08",33,"KG",18270,18445.76,18270,25914.67,60659203.65,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,204210000,"08",33,"KG",9075,9133.6,9075,20418.75,47756343.13,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,206100000,"08",33,"KG",1500,1509.35,1500,750,1754897.48,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,1101000000,"08",33,"KG",40000,40640,40000,12800,29859712,0,3400,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,6811100000,"08",82,"M2",3224.6,39247,39247,8774,20578978.3,0,2673.85,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,6811900000,"08",33,"KG",730,730,730,578,1355670.1,0,176.14,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,6905100000,"54",11,"U",11508,12000,11500,3636,8497623.24,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201100000,"08",33,"KG",7320,7363.98,7320,13542,31630266.71,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201200000,"08",33,"KG",100,100.57,100,182,424567.78,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201300090,"08",33,"KG",15147,15238.16,15147,25314.27,59119386.25,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,204210000,"08",33,"KG",8800,8853.04,8800,19800,46251315.99,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,206100000,"08",33,"KG",1895,1906.24,1895,947.5,2212340.63,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,4415200000,"08",11,"U",1248,44705.58,44704.48,14976,35029764.06,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,6811100000,"08",82,"M2",6448.28,78496,78496,17550,41050504.75,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,6811900000,"08",33,"KG",1460,1460,1460,1156,2703953.48,0,0,0,0
505,"02",47,"ANT",2,"BAQ","08",1,"580",1,"002",2,8,2,1401900000,"08",33,"KG",4500,4510,4500,292.8,687274.8,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"043",1,"002",2,8,2,2104200000,"11",33,"KG",45.85,52.85,45.85,105.5,247747.77,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,1005909090,"11",33,"KG",100,109.61,100,21,49120.26,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,1201009000,"11",33,"KG",100,109.61,100,95,222210.71,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,1806320090,"11",33,"KG",3,3.29,3,4,9356.24,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,2104200000,"11",33,"KG",18,19.73,18,283,661954.01,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,2309909000,"11",33,"KG",17000,18633.02,17000,2168.5,5072251.83,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,3004501000,"11",33,"KG",33,36.17,33,108,252618.49,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,3401199000,"11",33,"KG",150,164.41,150,120,280687.21,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,4202920000,"11",11,"U",108,109.61,100,18,42103.08,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,4203300000,"11",11,"U",33,27.4,25,24.6,57540.88,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,4205000000,"11",11,"U",2,2.19,2,73,170751.39,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,6403510000,"11",19,"2U",6,38.36,35,36,84206.16,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,6804300000,"11",11,"U",1,32.88,30,0.8,1871.25,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7020000000,"11",11,"U",1,76.72,70,53,123970.19,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7117900000,"11",33,"KG",25,27.4,25,79.2,185253.56,0,0,0,0
505,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7606110000,"11",33,"KG",100,109.61,100,60,140343.61,0,0,0,0
505,"02",47,"ANT",2,"BAQ","17",1,"043",1,"198",1,8,1,6811100000,"17",82,"M2",1543.34,20152,20152,4184.4,9787563.08,3347.32,0,0,0
505,"02",47,"ANT",2,"BAQ","23",1,"047",1,"198",1,8,2,604990000,"23",33,"KG",6130,6130,6130,594.72,1396592.93,0,0,0,0
505,"02",47,"ANT",2,"BAQ","23",1,"047",1,"198",1,8,2,4403990000,"23",67,"M3",0.34,2910,2910,1126.32,2644959.9,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,1,401100000,"25",61,"L",4800,5439.23,4800,2480,5823833.85,1909.6,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,1,401200000,"25",61,"L",8664,9817.82,8664,4476.4,10512020.1,3536.36,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,1,403100000,"25",61,"L",799.2,905.63,799.2,1860.48,4369002.58,1732.25,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,1,2202900000,"25",61,"L",6281.4,7117.91,6281.4,4552.08,10689740.97,3151.79,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,4418100000,"25",11,"U",81,5811,5520.45,9513.55,22340860.69,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,4418200000,"25",11,"U",50,1419,1348.05,1580,3710345.76,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,4418500000,"25",11,"U",80,300,285,80,187865.61,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,4418909000,"25",11,"U",43,497.98,496.88,1637.22,3844716.63,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,6802210000,"25",82,"M2",0.3,143,135.85,570,1338542.46,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,6904100000,"25",13,"MIL",9.09,15662,14878.9,1363.5,3201934.46,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,7610100000,"25",33,"KG",19,20,19,36,84539.52,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"043",1,"198",1,8,2,9403900000,"25",11,"U",180,360,342,1440,3381580.94,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"580",1,"198",1,8,1,403100000,"25",61,"L",324,371.76,324,453.6,1045230.48,335.67,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"580",1,"198",1,8,1,2104200000,"25",33,"KG",770.64,884.23,770.64,1810.2,4171243.86,1755.91,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"580",1,"198",1,8,1,2202900000,"25",61,"L",18972,21768.41,18972,10426.56,24025922.21,8226.49,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"580",1,"198",1,8,2,1901909000,"25",33,"KG",79.2,107.11,79.2,194.4,454310.86,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"580",1,"198",1,8,2,2007991100,"25",33,"KG",139.2,188.25,139.2,236,551529.64,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"580",1,"198",1,8,2,2007999100,"25",33,"KG",730.8,981.53,730.8,1239,2897536.04,0,0,0,0
505,"02",47,"ANT",2,"BAQ","25",1,"580",1,"198",1,8,2,2202900000,"25",61,"L",1114.26,1506.9,1114.26,1040.76,2432245.71,0,0,0,0
505,"02",47,"ANT",2,"BAQ","47",1,"434",1,"198",1,8,2,803001200,"47",33,"KG",38112.14,42020,38112.14,11606,27138560.58,0,0,0,0
505,"02",47,"ANT",3,"BOG","08",4,"169",1,"198",1,8,2,6403590000,"08",19,"2U",89,61,50,2645.28,6160036.82,0,0,0,0
505,"02",47,"ANT",3,"BOG","08",4,"169",1,"199",2,8,2,8803900000,"08",11,"U",1,606.39,551.27,2500,5871724.75,0,0,0,0
505,"02",63,"ARG",2,"BAQ","08",1,"043",1,"198",1,8,1,2933710000,"08",33,"KG",234000,237180,234000,540631.7,1229715459,349549.91,0,0,0
505,"02",63,"ARG",2,"BAQ","08",1,"043",1,"198",1,8,2,2704001000,"25",33,"KG",21363120,21363120,21363120,3418099.2,7973707633,0,0,0,0
505,"02",63,"ARG",2,"BAQ","25",1,"467",1,"198",1,8,2,2704001000,"25",33,"KG",19145000,19145000,19145000,3276966,7637919583,0,754946.5,0,0
505,"02",63,"ARG",3,"BOG","08",4,"169",1,"198",1,2,1,9602001000,"08",33,"KG",1850,2765.01,1850,57875.35,135050180.1,54229.2,9128.99,0,0
505,"02",63,"ARG",6,"CTG","08",1,"467",1,"198",1,2,1,9018312000,"08",11,"U",904000,6042.26,4223.82,22148.06,51821366.35,9228,0,0,0
505,"02",63,"ARG",6,"CTG","08",1,"467",1,"198",1,2,1,9018320000,"08",13,"MIL",240,240.84,218.95,5645.58,13209358.72,3394,0,0,0
505,"02",63,"ARG",6,"CTG","08",1,"467",1,"198",1,2,1,9018390000,"08",11,"U",42800,306.13,214,8950.8,20942813.32,8516,0,0,0
505,"02",63,"ARG",6,"CTG","08",1,"467",1,"198",1,2,1,9018909000,"08",11,"U",10000,38.62,27,1090,2550349.3,899,0,0,0
505,"02",69,"AUS",2,"BAQ","08",1,"043",1,"198",1,8,1,3808209090,"08",33,"KG",89600,98560,89600,197120,462499196.6,185292.8,7524,540,0
505,"02",83,"BRB",2,"BAQ","08",1,"434",1,"198",1,4,1,2835260000,"08",33,"KG",50000,50150,50000,16088,37598944.65,9292.11,2662,0,0
505,"02",83,"BRB",2,"BAQ","08",1,"434",1,"198",1,4,2,3102210000,"08",33,"KG",50000,50150,50000,9250,21617990.93,0,2750,0,0
505,"02",83,"BRB",2,"BAQ","47",1,"043",1,"198",1,8,1,1511900000,"47",33,"KG",40042.8,41277.6,40042.8,24000.19,56195496.26,23894.59,0,0,0
505,"02",87,"BEL",3,"BOG","08",4,"573",1,"198",1,8,1,9503900000,"08",11,"U",598400,1500,1406.48,13484,31455340.36,10169.63,3554.99,46.86,0
505,"02",87,"BEL",3,"BOG","08",4,"573",1,"198",1,8,2,4911100000,"08",33,"KG",34.58,38,34.58,12.5,29159.88,0,0,0,0
505,"02",90,"BMU",3,"BOG","08",4,"169",1,"198",1,8,2,6203420000,"08",11,"U",320,336.66,305.53,6687.36,15644676.81,0,0,0,0
505,"02",90,"BMU",3,"BOG","08",4,"169",1,"198",1,8,2,6204620000,"08",11,"U",30,24.24,22,414.15,968879.03,0,0,0,0
505,"02",90,"BMU",3,"BOG","08",4,"169",1,"198",1,8,2,6205200000,"08",11,"U",134,114.04,103.5,3061.75,7162780.11,0,0,0,0
505,"02",90,"BMU",3,"BOG","08",4,"169",1,"198",1,8,2,6302910000,"08",11,"U",50,13.77,12.5,321,750960.21,0,0,0,0
505,"02",90,"BMU",3,"BOG","08",4,"169",1,"198",1,8,2,6505900000,"08",11,"U",250,19.28,17.5,660,1544030.33,0,0,0,0
505,"02",97,"BOL",2,"BAQ","05",1,"573",1,"198",1,8,1,3912310000,"05",33,"KG",3500,3514,3500,13125,30821701.31,10703.44,385.45,0,0
505,"02",97,"BOL",2,"BAQ","08",1,"043",1,"198",1,1,1,8418500000,"08",11,"U",8,1200,960,4490.8,10504251.1,3214.68,1989.2,0,0
505,"02",97,"BOL",2,"BAQ","08",1,"043",1,"198",1,2,1,2835260000,"08",33,"KG",50000,50150,50000,13150,30622272.19,7595.18,2200,0,0
505,"02",97,"BOL",2,"BAQ","08",1,"043",1,"002",2,8,2,8418500000,"08",11,"U",2,300,240,1085.2,2538348.02,0,0,0,0
505,"02",97,"BOL",2,"BAQ","08",1,"097",1,"198",1,1,1,3503001000,"08",33,"KG",15500,15729,15500,66661.43,156542376,58662.06,1538.57,0,0
505,"02",97,"BOL",3,"BOG","08",4,"105",1,"198",1,1,1,9602001000,"08",33,"KG",78,118,78,3005,7022685,2815.69,862,13,0
505,"02",97,"BOL",3,"BOG","08",4,"105",1,"198",1,2,1,3004902900,"08",33,"KG",306,332,306,4042.76,9464060.73,2626.58,929.88,21.28,0
505,"02",97,"BOL",3,"BOG","08",4,"169",1,"198",1,2,1,3004401900,"08",33,"KG",578,648,578,9729.92,22758337.14,7645.97,0,0,0
505,"02",97,"BOL",3,"BOG","08",4,"169",1,"198",1,2,1,3004501000,"08",33,"KG",903,995.23,903,29210.02,68300547.38,18881.92,0,0,0
505,"02",97,"BOL",3,"BOG","08",4,"169",1,"198",1,2,1,3004902900,"08",33,"KG",882,977.79,882,19936.59,46629106.22,16963.4,0,0,0
505,"02",105,"BRA",2,"BAQ","08",1,"043",1,"198",1,8,1,2928001000,"08",33,"KG",24700,26520,24700,55679.02,130236574.1,37433.56,1006,124.98,0
505,"02",105,"BRA",2,"BAQ","08",1,"043",1,"198",1,8,1,8415823000,"08",11,"U",135,11560,11560,57185,133759151.8,16400,0,0,400
505,"02",105,"BRA",2,"BAQ","08",1,"827",1,"198",1,2,2,7602000000,"08",33,"KG",13650,13650,13650,22386,52315858.14,0,0,0,0
505,"02",105,"BRA",2,"BAQ","08",1,"827",1,"198",2,2,1,3808201000,"08",33,"KG",9024,10197,9024,61994.88,144881414.6,61374.93,0,0,0
505,"02",105,"BRA",3,"BOG","08",4,"105",1,"198",1,8,2,4821100000,"08",33,"KG",430,448,430,4011.47,9344118.05,0,0,0,0
505,"02",105,"BRA",3,"BOG","08",4,"105",1,"198",2,2,1,3808201000,"08",33,"KG",9120,10910,9120,62654.4,146034249,61401.31,0,0,0
505,"02",105,"BRA",3,"BOG","08",4,"169",1,"198",1,2,1,3204900000,"08",33,"KG",22,23,22,425.92,993581.92,425.92,68.11,1.6,0
505,"02",105,"BRA",3,"BOG","08",4,"169",1,"198",1,2,1,4819200000,"08",11,"U",259,286,259,1462.5,3411705.38,1462.5,846.94,5.73,0
505,"02",145,"CMR",2,"BAQ","08",1,"043",1,"198",1,8,1,3808309000,"08",33,"KG",10000,10800,10000,35900,83675361,33028,2806,0,94
505,"02",149,"CAN",2,"BAQ","08",1,"043",1,"198",1,6,2,7019390000,"25",33,"KG",13602,13830,13602,18327.56,42859090.7,0,0,0,0
505,"02",149,"CAN",2,"BAQ","08",1,"043",1,"198",1,8,1,3808209090,"08",33,"KG",236600,260260,236600,676676,1579547094,636075.44,54556,1778,0
505,"02",149,"CAN",2,"BAQ","08",1,"043",1,"198",1,8,2,2202900000,"08",61,"L",8640,16358.4,9014.4,4824,11283625.92,0,0,0,0
505,"02",149,"CAN",2,"BAQ","08",1,"149",1,"198",1,8,1,4107990000,"08",82,"M2",1422.45,2573,2567,31843.95,74484912.87,21653.89,0,0,0
505,"02",149,"CAN",3,"BOG","08",4,"169",1,"198",1,6,1,3004902900,"08",33,"KG",5576,6162,5576,58655.33,137618808.5,39445.71,11125.54,227.43,0
505,"02",149,"CAN",3,"BOG","08",4,"169",1,"199",2,8,2,8529909000,"44",11,"U",3,9,6.5,5000,11695300.5,0,0,0,0
505,"02",187,"PRK",2,"BAQ","08",1,"434",1,"198",1,8,1,9503900000,"08",11,"U",3013500,6086.36,5652.76,56057,130657095,45398.8,1306,143.41,206.25
505,"02",190,"KOR",2,"BAQ","08",1,"043",1,"198",1,8,1,2530900000,"08",33,"KG",68000,70000,68000,19891.36,46527086.51,19748.14,4588.16,0,0
505,"02",190,"KOR",2,"BAQ","08",1,"043",1,"198",1,8,2,7602000000,"08",33,"KG",20170,20170,20170,27229.5,63691436.99,0,0,0,0
505,"02",190,"KOR",3,"BOG","08",4,"275",1,"198",1,8,2,4103200000,"13",33,"KG",439,496,439,25646,59971629.68,0,0,0,0
505,"02",190,"KOR",3,"BOG","08",4,"573",1,"198",1,8,1,9503900000,"08",11,"U",135000,253,237.12,2207.5,5149633.93,1792.27,1089.41,12,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,2833210000,"08",33,"KG",216000,216352.33,216000,40392,94736609.46,27817.96,7980.36,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,2833291000,"08",33,"KG",45000,45074.67,45000,11922.6,27887677.95,11452.84,2030.04,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,3808209090,"08",33,"KG",138776.1,141719.5,138776.1,234382.25,550167058.8,112503.48,3250,522.79,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,4104110000,"08",82,"M2",3270.2,20790,20490,24798.4,57799862.74,21023.34,0,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,7007190000,"08",82,"M2",5536.33,38000,35000,36783,86132081.26,27471.4,0,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,2833299000,"08",33,"KG",40000,41780,40000,17400,40683288,0,2120,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,4411110000,"08",67,"M3",44.5,44556.4,42026,13364,31259199.18,0,2858.4,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,8419310000,"08",11,"U",1,133.89,128,1214,2827029.54,0,60.8,5.4,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,8437109000,"08",11,"U",3,1684.11,1610,15314,35661557.13,0,766.98,68.18,0
505,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,8437900000,"08",11,"U",2,159,152,1442,3357970.84,0,72.22,6.42,0
505,"02",196,"CRI",2,"BAQ","08",1,"047",1,"198",1,8,2,3808301000,"11",33,"KG",24864,29836.8,24864,80060.69,187922454.6,0,2216,144.11,0
505,"02",196,"CRI",2,"BAQ","08",1,"169",1,"198",1,8,1,7209160000,"08",33,"KG",1085075,1090810.64,1085075,795359.99,1852433185,164313.4,29060.99,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"169",1,"198",1,8,1,7209170000,"08",33,"KG",1182975,1189228.13,1182975,874833.29,2037530474,193355.64,31964.81,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"169",1,"198",1,8,1,7209181000,"08",33,"KG",1986380,1997385.11,1986380,1483357.44,3454813646,348485.13,54307.12,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"169",1,"198",1,8,1,7209182000,"08",33,"KG",212590,213726.14,212590,162206.17,377786280.2,42386.08,5928.13,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"434",1,"198",1,2,2,3808209090,"08",33,"KG",7020,9382.2,7020,102862,241590940.5,0,1520,567,0
505,"02",196,"CRI",2,"BAQ","08",1,"434",1,"198",1,8,1,3923210000,"08",11,"U",1497600,5240.7,4915.7,21741.03,51062937.57,17669.37,0,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"434",1,"198",1,8,1,4410320000,"08",67,"M3",35.91,23500,22816,8129.12,19092782.04,6836.22,1633.92,0,0
505,"02",196,"CRI",2,"BAQ","08",1,"434",1,"198",1,8,2,3808301000,"11",33,"KG",4000,4800,4000,28540.76,67033394.75,0,767.87,51.38,0
505,"02",196,"CRI",2,"BAQ","08",1,"434",1,"198",1,8,2,3808309000,"11",33,"KG",2000,2400,2000,14017.63,32923066,0,377.13,25.23,0
505,"02",196,"CRI",2,"BAQ","08",1,"434",1,"198",1,8,2,8507100000,"08",11,"U",1064,17490.9,17190.9,21226.74,49475073.32,0,1500,114.01,58.97
